Country Name,Country Code,Año,Crecimiento del PIB per cápita (% anual)
,AFE,1961.0,-2.342973540000955
,AFW,1961.0,-0.25551135174792705
Argentina,ARG,1961.0,3.7409028140110934
Australia,AUS,1961.0,0.4636705216674528
Austria,AUT,1961.0,4.960717183491752
Burundi,BDI,1961.0,-15.870157597821887
Bélgica,BEL,1961.0,4.63025713410768
Benin,BEN,1961.0,1.5673265729585069
Burkina Faso,BFA,1961.0,2.55227305245495
Bangladesh,BGD,1961.0,3.01980165923581
Bahamas,BHS,1961.0,5.405126232599855
Belice,BLZ,1961.0,2.2586987067707724
Bermudas,BMU,1961.0,2.1492747242105423
Bolivia,BOL,1961.0,0.006128821675702056
Brasil,BRA,1961.0,5.374303544478721
Botswana,BWA,1961.0,4.003501514845723
República Centroafricana,CAF,1961.0,3.073628194910796
Canadá,CAN,1961.0,1.121346226011454
Chile,CHL,1961.0,3.071444281440506
China,CHN,1961.0,-26.527643606403956
Côte d'Ivoire,CIV,1961.0,5.942563211176008
Camerún,CMR,1961.0,-0.4263335122541605
"Congo, República Democrática del",COD,1961.0,-13.107927867665907
"Congo, República del",COG,1961.0,5.576731464886279
Colombia,COL,1961.0,1.8764473715372674
Costa Rica,CRI,1961.0,-1.7573665451509015
Estados pequeos del Caribe,CSS,1961.0,8.038270404213563
Dinamarca,DNK,1961.0,5.63874355341882
República Dominicana,DOM,1961.0,-5.477191878209169
Argelia,DZA,1961.0,-15.127218311281041
Asia oriental y el Pacífico (excluido altos ingresos),EAP,1961.0,-13.42570843595037
inicial del dividendo demográfico,EAR,1961.0,1.812989561598144
Asia oriental y el Pacífico,EAS,1961.0,3.5907453935762845
Ecuador,ECU,1961.0,2.174143397174248
"Egipto, República Árabe de",EGY,1961.0,2.457534308597346
España,ESP,1961.0,10.804486856499267
Finlandia,FIN,1961.0,6.847965181311537
Fiji,FJI,1961.0,0.3478814031731474
Francia,FRA,1961.0,3.8410549415390562
Gabón,GAB,1961.0,13.443330300308574
Reino Unido,GBR,1961.0,1.899261981760887
Ghana,GHA,1961.0,0.55595866170286
Grecia,GRC,1961.0,12.309794984244675
Guatemala,GTM,1961.0,1.2805927592967095
Guyana,GUY,1961.0,1.7357564021226892
Ingreso alto,HIC,1961.0,3.0710035018925765
Honduras,HND,1961.0,-1.0626035032646968
Países pobres muy endeudados (PPME),HPC,1961.0,-2.6673386796492053
Haití,HTI,1961.0,-4.734056631253807
Sólo BIRF,IBD,1961.0,-0.05163299144842881
BIRF y la AIF,IBT,1961.0,-0.2766322523537923
total de la AIF,IDA,1961.0,-1.3463002413361664
mezcla de la AIF,IDB,1961.0,-1.15811796536957
Indonesia,IDN,1961.0,2.9066066576114196
India,IND,1961.0,1.359574511924876
"Irán, República Islámica del",IRN,1961.0,7.404045468794763
Islandia,ISL,1961.0,-2.0128830332422183
Israel,ISR,1961.0,7.5914133972726034
Italia,ITA,1961.0,7.486418839140157
Japón,JPN,1961.0,11.044073040340336
Kenya,KEN,1961.0,-11.167245992205011
"Corea, República de",KOR,1961.0,3.8095547622288137
América Latina y el Caribe (excluido altos ingresos),LAC,1961.0,3.2456240111254004
América Latina y el Caribe,LCN,1961.0,3.2437945267824944
Países de ingreso mediano bajo,LMC,1961.0,0.7800026096424233
Ingreso mediano y bajo,LMY,1961.0,-0.43039670460348134
Lesotho,LSO,1961.0,-1.2219600136462105
avanzada del dividendo demográfico,LTE,1961.0,-4.424637173065079
Luxemburgo,LUX,1961.0,2.8878467412547764
Madagascar,MDG,1961.0,-0.5563105004864468
México,MEX,1961.0,1.7151508139447174
 Ingreso mediano,MIC,1961.0,-0.22911220121463316
Malawi,MWI,1961.0,5.110953675656731
Malasia,MYS,1961.0,4.386326188127555
América del Norte,NAC,1961.0,0.588061041067192
Níger,NER,1961.0,1.4963916870629674
Nigeria,NGA,1961.0,-1.8340097439208876
Nicaragua,NIC,1961.0,4.295707755151426
Países Bajos,NLD,1961.0,-1.0149975725171743
Noruega,NOR,1961.0,5.432493154733109
Nepal,NPL,1961.0,-0.030599110441571042
Miembros OCDE,OED,1961.0,2.9019918532846845
Pakistán,PAK,1961.0,3.4949377948213254
Panamá,PAN,1961.0,7.692630969826709
Perú,PER,1961.0,4.213292637565829
Filipinas,PHL,1961.0,2.613696135786995
Papua Nueva Guinea,PNG,1961.0,3.5727874557672408
previa al dividendo demográfico,PRE,1961.0,-3.0465964775805503
Puerto Rico,PRI,1961.0,5.180691476745025
Portugal,PRT,1961.0,4.688668546946047
Paraguay,PRY,1961.0,4.346242700752228
posterior al dividendo demográfico,PST,1961.0,3.102630557987112
Rwanda,RWA,1961.0,-6.825966603074178
Asia meridional,SAS,1961.0,1.771636203566601
Sudán,SDN,1961.0,-2.513713788245468
Senegal,SEN,1961.0,0.121050209977696
Singapur,SGP,1961.0,4.580373932249813
Sierra Leona,SLE,1961.0,0.08016437483927064
Somalia,SOM,1961.0,-5.722745454488205
África al sur del Sahara (excluido altos ingresos),SSA,1961.0,-1.413992817723269
África al sur del Sahara,SSF,1961.0,-1.417518927473708
Suriname,SUR,1961.0,1.1907831434046159
Suecia,SWE,1961.0,5.184618707993181
Seychelles,SYC,1961.0,-7.519198961670739
República Árabe Siria,SYR,1961.0,7.548286031521158
Chad,TCD,1961.0,-0.5387808675790922
Asia oriental y el Pacífico (BIRF y la AIF),TEA,1961.0,-13.399583167374132
Togo,TGO,1961.0,10.33716533599032
Tailandia,THA,1961.0,2.272881701815834
América Latina y el Caribe (BIRF y la AIF),TLA,1961.0,3.169026046264662
Asia meridional (BIRF y la AIF),TSA,1961.0,1.771636203566601
África al sur del Sahara (BIRF y la AIF),TSS,1961.0,-1.4175189274736937
Trinidad y Tobago,TTO,1961.0,11.668735992012458
Turquía,TUR,1961.0,-1.5076126435854178
Ingreso mediano alto,UMC,1961.0,-0.36951829773379075
Uruguay,URY,1961.0,1.207169289988542
Estados Unidos,USA,1961.0,0.6181211926547405
San Vicente y las Granadinas,VCT,1961.0,2.6665204669536564
Venezuela,VEN,1961.0,-0.4230066517170883
Mundo,WLD,1961.0,2.406823252527772
Sudáfrica,ZAF,1961.0,0.977923938584297
Zambia,ZMB,1961.0,-1.787684973100525
Zimbabwe,ZWE,1961.0,3.0762099409484875
,AFE,1962.0,5.0939919657883195
,AFW,1962.0,1.59294217712241
Argentina,ARG,1962.0,-2.4543330322291013
Australia,AUS,1962.0,-1.1476997078585782
